id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<number of doc>	weight<degree centrality>	weight<closeness centrality>	weight<betweenness centrality>	weight<pagerank centrality>	score<number of doc>	score<degree centrality>	score<closeness centrality>	score<betweenness centrality>	score<pagerank centrality>
Polish Acad Sci	-0.6684	-0.6466	8	3	120	2159	6	0.00150375939849624	128.326625386997	0.00228002263992148	2159	6	0.00150375939849624	128.326625386997	0.00228002263992148
Princeton Univ	0.2624	0.015	3	12	458	511	24	0.00152905198776758	21.5983366674659	0.00426039645240836	511	24	0.00152905198776758	21.5983366674659	0.00426039645240836
Research lnstitute of Fisheries & Oceanography - RAS	-1.5155	0.7707	10	3	68	630	6	0.00153374233128834	105.46545679386	0.00215191624808352	630	6	0.00153374233128834	105.46545679386	0.00215191624808352
Royal Holloway Univ London	-0.5874	-0.6275	8	3	94	342	6	0.0015220700152207	1.74646464646465	0.00183981714779116	342	6	0.0015220700152207	1.74646464646465	0.00183981714779116
Royal Netherlands Inst Sea Res NIOZ	-0.0642	-0.1206	9	13	536	714	26	0.00168067226890756	19.7734217159551	0.0046172044011996	714	26	0.00168067226890756	19.7734217159551	0.0046172044011996
Royal Netherlands Meteorol Inst	-0.2199	-0.2087	9	1	64	251	2	0.00125786163522013	0	0.000869769655033687	251	2	0.00125786163522013	0	0.000869769655033687
Ruprecht Karls Univ Heidelberg	-0.4485	0.1661	12	5	228	402	10	0.0016260162601626	0	0.00224515181048305	402	10	0.0016260162601626	0	0.00224515181048305
Russian Acad Sci	-1.4698	0.7637	10	16	732	7994	32	0.00162074554294976	1554.70589006705	0.00973228753138098	7994	32	0.00162074554294976	1554.70589006705	0.00973228753138098
Rutgers State Univ	0.3998	-0.0958	13	9	304	549	18	0.0016	30.1106435231435	0.00335704350120388	549	18	0.0016	30.1106435231435	0.00335704350120388
Sapienza Univ	-0.2129	0.2239	5	1	28	176	2	0.000911577028258888	0	0.00111826011914537	176	2	0.000911577028258888	0	0.00111826011914537
Senckenberg Gesellschaft fur Naturforschung SGN	-1.0991	0.4581	10	1	26	287	2	0.00115340253748558	0	0.00102609991124454	287	2	0.00115340253748558	0	0.00102609991124454
Seoul Natl Univ	0.1622	0.8585	7	2	144	269	4	0.001194743130227	0	0.0017108841693821	269	4	0.001194743130227	0	0.0017108841693821
Severtsov Inst Ecol & Evolut - RAS	-1.5176	0.7737	10	2	46	344	4	0.00118906064209275	0	0.00169925646269939	344	4	0.00118906064209275	0	0.00169925646269939
Shirshov Inst Oceanol - RAS	-1.5059	0.7827	10	3	256	1862	6	0.00146198830409357	56.2625957719036	0.00213615157968434	1862	6	0.00146198830409357	56.2625957719036	0.00213615157968434
Smithsonian Inst	0.5447	-0.2781	1	1	22	303	2	0.00111358574610245	0	0.00100312817580734	303	2	0.00111358574610245	0	0.00100312817580734
Sorbonne Univ	-0.4182	0.426	6	10	606	689	20	0.00166666666666667	2.9980473037399	0.00366062043740362	689	20	0.00166666666666667	2.9980473037399	0.00366062043740362
St Petersburg State Univ	-1.205	0.6816	10	2	50	883	4	0.00120481927710843	0	0.00147933880383868	883	4	0.00120481927710843	0	0.00147933880383868
Stanford Univ	0.2618	-0.0969	13	23	640	878	46	0.00175131348511384	195.851707190927	0.00775870050652704	878	46	0.00175131348511384	195.851707190927	0.00775870050652704
State Ocean Adm China	2.8661	0.2882	11	2	56	611	4	0.00111482720178372	0	0.00201322596327272	611	4	0.00111482720178372	0	0.00201322596327272
State Univ New York	1.2191	-0.2058	3	2	142	380	4	0.00123609394313968	260	0.00217079705837804	380	4	0.00123609394313968	260	0.00217079705837804
State Univ New York Stony Brook	1.2267	-0.2071	3	1	112	235	2	0.000935453695042095	0	0.00149510783378255	235	2	0.000935453695042095	0	0.00149510783378255
Stockholm Univ	-0.3909	0.0975	12	10	386	1845	20	0.00164744645799012	260.909523809524	0.00415122739430975	1845	20	0.00164744645799012	260.909523809524	0.00415122739430975
Swansea Univ	-0.3952	-0.4319	2	4	132	403	8	0.0016	7.24660894660894	0.00201612954999503	403	8	0.0016	7.24660894660894	0.00201612954999503
Swedish Museum Nat Hist	-0.8436	-0.6643	8	2	58	508	4	0.0015015015015015	0	0.00129268229961985	508	4	0.0015015015015015	0	0.00129268229961985
Texas A&M Univ	0.1955	-0.1653	2	10	260	550	20	0.00143884892086331	2.68410496313722	0.00342174405987789	550	20	0.00143884892086331	2.68410496313722	0.00342174405987789
Tohoku Univ	-0.0955	0.783	15	2	54	169	4	0.00119760479041916	0	0.00164954974500827	169	4	0.00119760479041916	0	0.00164954974500827
UHI Millenium Inst	-0.0921	-0.3408	4	4	144	287	8	0.00152905198776758	0	0.00182513038340817	287	8	0.00152905198776758	0	0.00182513038340817
UK Centre for Ecology & Hydrology UKCEH	-0.6179	-0.841	4	1	20	139	2	0.00149700598802395	0	0.000912704476332438	139	2	0.00149700598802395	0	0.000912704476332438
US Geol Survey	0.4715	-0.113	1	16	520	2283	32	0.00164473684210526	55.7770028668089	0.00540847049297732	2283	32	0.00164473684210526	55.7770028668089	0.00540847049297732
Univ Aberdeen	-0.5988	-0.8717	4	1	76	558	2	0.00149700598802395	0	0.000912704476332438	558	2	0.00149700598802395	0	0.000912704476332438
Univ Adelaide	-0.0034	0.0967	14	3	92	263	6	0.0013550135501355	0	0.00159287841876515	263	6	0.0013550135501355	0	0.00159287841876515
Univ Alabama	0.3217	-0.0089	1	4	158	316	8	0.00132275132275132	2.02765469824293	0.00177674718462178	316	8	0.00132275132275132	2.02765469824293	0.00177674718462178
Univ Alaska	0.4547	-0.0163	13	2	202	1998	4	0.00131926121372032	0	0.00118607976779303	1998	4	0.00131926121372032	0	0.00118607976779303
Univ Alaska Anchorage	0.4492	-0.0512	13	3	88	350	6	0.00126262626262626	0	0.00144217091182945	350	6	0.00126262626262626	0	0.00144217091182945
Univ Alaska Fairbanks	0.4421	-0.024	13	12	486	4962	24	0.00165837479270315	101.839299026407	0.00440377581168688	4962	24	0.00165837479270315	101.839299026407	0.00440377581168688
Univ Alberta	0.148	-0.0155	5	3	72	1581	6	0.0014903129657228	0.575662641452115	0.00148123969837773	1581	6	0.0014903129657228	0.575662641452115	0.00148123969837773
Univ Auckland	0.0952	0.0279	5	5	142	257	10	0.00131752305665349	0.74491341991342	0.00200636032500182	257	10	0.00131752305665349	0.74491341991342	0.00200636032500182
