id	x	y	cluster	weight<Links>	weight<Total link strength>	label	weight<cluster total n>	weight<cluster country n>	weight<excel top10>	weight<mean percentile>	weight<share top10>	weight<share all>	weight<avg. year>	score<cluster total n>	score<cluster country n>	score<excel top10>	score<mean percentile>	score<share top10>	score<share all>	score<avg. year>
1058	0.2253	-0.2609	1	203	183.7242	58_극지 지역 해양산성화 관측과 영향 연구	794	10	0	20.633583333333394	0	1.2594458438287155	2012.5455650060753	794	10	0	20.633583333333394	0	1.2594458438287155	2012.5455650060753
1059	-0.7424	0.4681	3	203	109.6176	59_남극 진동과 남반구 기후변화 시뮬레이션 및 호주 기후 영향	1648	80	8.750000000000101	45.4765440070349	1.5597147950089338	4.854368932038835	2011.9179060083284	1648	80	8.750000000000101	45.4765440070349	1.5597147950089338	4.854368932038835	2011.9179060083284
1060	-1.0753	0.4056	3	203	106.5068	60_중기 순환 모델에 의한 남반구 중력파 특성 규명 및 기후 변동 영향	1107	31	3.2258064516127645	43.23008537414953	0.4649721016738794	2.8003613369467026	2007.912613981763	1107	31	3.2258064516127645	43.23008537414953	0.4649721016738794	2.8003613369467026	2007.912613981763
1061	-0.4285	-0.107	2	203	175.2546	61_마지막 빙하기 동안의 CO2 증가로 인한 북대서양 순환과 기후 변화	1649	24	11.249999999999904	32.76449851190478	0.5722561729485284	1.4554275318374772	2008.3697219361484	1649	24	11.249999999999904	32.76449851190478	0.5722561729485284	1.4554275318374772	2008.3697219361484
1062	0.8997	0.5624	4	203	35.1117	62_남극 기지 활동 대원들의 생체리듬, 생활, 심리, 정서상태변화, 스트레스 등에 대한 연구	377	1	0	26.5	0	0.2652519893899204	2007.323651452282	377	1	0	26.5	0	0.2652519893899204	2007.323651452282
1063	-0.1753	-0.2424	5	203	185.8518	63_극지 지역 가스하이드레이트 발굴 및 활용 연구	721	26	0	35.158440170940175	0	3.6061026352288486	2011.408215661104	721	26	0	35.158440170940175	0	3.6061026352288486	2011.408215661104
1064	-0.7339	-0.2679	2	203	137.5435	64_고기후 및 중생대 지질환경 연구	472	1	0	81.5300000000011	0	0.211864406779661	2007.2770491803278	472	1	0	81.5300000000011	0	0.211864406779661	2007.2770491803278
1065	-0.7882	0.2978	3	203	157.6031	65_극지지역 화산분출물의 기후 영향 연구 및 지구공학적 실험 모델 연구	831	11	0	40.67945454545456	0	1.3237063778580023	2010.9431072210066	831	11	0	40.67945454545456	0	1.3237063778580023	2010.9431072210066
1066	0.5495	-0.4876	1	203	140.0259	66_극지 저저 및 심해의 생물 다양성 연구	602	8	0	25.10343750000007	0	1.3289036544850499	2007.1727748691098	602	8	0	25.10343750000007	0	1.3289036544850499	2007.1727748691098
1067	-0.524	-0.4222	5	203	144.6186	67_북극 해빙 관측 및 모델링 연구	2067	34	5.882352941176559	42.1208396334058	0.5543749422526207	1.644895984518626	2007.6680688336521	2067	34	5.882352941176559	42.1208396334058	0.5543749422526207	1.644895984518626	2007.6680688336521
1068	0.5941	0.1696	1	203	87.92	68_남극 이끼류 등 육상 식물에 대한 자외선-B 복사 영향	438	50	4.099999999999996	55.384116666666756	2.4289099526066296	11.415525114155251	2006.9178571428572	438	50	4.099999999999996	55.384116666666756	2.4289099526066296	11.415525114155251	2006.9178571428572
1069	-0.8019	-0.017	2	203	156.3583	69_고기후 및 신원생대/고생대 지질환경 연구	484	3	0	34.81999999999982	0	0.6198347107438017	2008.5092748735244	484	3	0	34.81999999999982	0	0.6198347107438017	2008.5092748735244
